Song,Artist,Popularity,URI
Ditch Diggers,DJ Bubba,38,38hnmRmRWrRibnjmtQQ91Y
LABELS CALLIN',Mike Dimes,0,6rIaHuCIUu32uj2CjlEBN3
Mr Gaulden,YoungBoy Never Broke Again,59,7wlFDEWiM5OoIAt8RSli8b
Take Down,YoungBoy Never Broke Again,51,7wlFDEWiM5OoIAt8RSli8b
Bangin My Line,YoungBoy Never Broke Again,50,7wlFDEWiM5OoIAt8RSli8b
War,Pop Smoke,63,0eDvMgVFoNV3TpwtrVCoTj
Grave Digga,YoungBoy Never Broke Again,53,7wlFDEWiM5OoIAt8RSli8b
I Is That,YoungBoy Never Broke Again,49,7wlFDEWiM5OoIAt8RSli8b
NO SNITCHING (with Dusty Locane),Lil Mabu,74,6FAo7ORAHEzSSf5q10LLfN
do you want,days,0,6mUM8NWA2tqDr8EwM3UJMG
Do You Want,Cokceken,33,7kYaURwtEZOrPRGVUqP34r
Wit It,Gunna,54,2hlmm7s2ICUX0LVIhVFlZQ
Yao Ming,Gunna,50,2hlmm7s2ICUX0LVIhVFlZQ
Idk Why,Gunna,47,2hlmm7s2ICUX0LVIhVFlZQ
Derek Fisher (feat. Lil Baby),Gunna,47,2hlmm7s2ICUX0LVIhVFlZQ
Speed It Up,Gunna,51,2hlmm7s2ICUX0LVIhVFlZQ
3 Headed Snake (feat. Young Thug),Gunna,58,2hlmm7s2ICUX0LVIhVFlZQ
Big Shot,Gunna,50,2hlmm7s2ICUX0LVIhVFlZQ
Out the Hood,Gunna,58,2hlmm7s2ICUX0LVIhVFlZQ
Same Yung Nigga (feat. Playboi Carti),Gunna,60,2hlmm7s2ICUX0LVIhVFlZQ
Helluva Price,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Drippin’,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Almighty (feat. Hoodrich Pablo Juan),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
At The Hotel (feat. Lil Uzi Vert & Young Jordan),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Top Off,Gunna,68,2hlmm7s2ICUX0LVIhVFlZQ
King Kong (feat. Young Thug),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Lies About You (feat. Lil Durk),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Mistress,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Car Sick (feat. NAV & Metro Boomin),Gunna,56,2hlmm7s2ICUX0LVIhVFlZQ
My Soul,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
No Joke,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Spending Addiction,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Money Don’t Change You,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Toast Up,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Drip or Drown Remix (feat. Lil Yachty),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
private island,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
pushin P (feat. Young Thug),Gunna,77,2hlmm7s2ICUX0LVIhVFlZQ
poochie gown,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
you & me,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
south to west,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
idk that bitch (feat. G Herbo),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
life of sin (feat. Nechie),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
die alone (feat. Yung Bleu),Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
missing me,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
so far ahead > empire,Gunna,0,2hlmm7s2ICUX0LVIhVFlZQ
Ill,Young Dolph,54,3HiuzBlSW7pGDXlSFMhO2g
If I Ever,Young Dolph,45,3HiuzBlSW7pGDXlSFMhO2g
1 Hell of a Life,Young Dolph,65,3HiuzBlSW7pGDXlSFMhO2g
Summo',Young Dolph,48,3HiuzBlSW7pGDXlSFMhO2g
Blac Loccs,Young Dolph,47,3HiuzBlSW7pGDXlSFMhO2g
Like Key,Key Glock,45,0RESbWvOMyua0yuyVrztJ5
Back to Back,Paper Route EMPIRE,51,65smG2lgnRmrDB8g7z1hG0
